"","id","Date.x","Open_14","High_14","Low_14","Close_14","Adj_Close_14","Volume_14","Date.y","Open_20","High_20","Low_20","Close_20","Adj_Close_20","Volume_20"
"29",29,"2014-04-10",35.099998,35.139999,33,33.009998,29.53046,14715400,"2020-02-12",59.290001,59.919998,59.18,59.470001,59.062363,5227500
"30",30,"2014-04-11",32.880001,33.849998,32.27,32.52,29.092119,12681600,"2020-02-13",58.75,59.209999,58.349998,59.130001,58.724693,4353100
"31",31,"2014-04-14",32.860001,33,31.129999,31.73,28.385389,15615700,"2020-02-14",59.240002,59.470001,58.580002,58.900002,58.496269,3810100
"32",32,"2014-04-15",31.799999,32.43,30.540001,31.91,28.546415,19269200,"2020-02-18",58.869999,59.470001,58.41,58.720001,58.317501,5690600
"33",33,"2014-04-16",32.220001,33.73,32.169998,33.619999,30.076159,14163400,"2020-02-19",58.490002,58.580002,58.029999,58.509998,58.509998,4399900
"34",34,"2014-04-17",33.610001,33.880001,32.880001,33.759998,30.201412,13151800,"2020-02-20",58.200001,58.990002,58.119999,58.380001,58.380001,5239400
"35",35,"2014-04-21",33.580002,34.080002,33.25,33.939999,30.362429,8893100,"2020-02-21",57.959999,58.02,56.869999,57.869999,57.869999,6295600
"36",36,"2014-04-22",34.18,35.25,34.169998,34.950001,31.265972,14105200,"2020-02-24",54.830002,55.380001,53.34,54.23,54.23,17983100
"37",37,"2014-04-23",36.869999,37.41,36,37.09,33.180397,22024400,"2020-02-25",54.540001,54.709999,50.75,50.889999,50.889999,15836500
"38",38,"2014-04-24",37.150002,37.470001,36.330002,36.73,32.858341,16534100,"2020-02-26",51.439999,51.77,49,49.59,49.59,15985900
"39",39,"2014-04-25",36.5,36.610001,35.779999,36.07,32.26791,10323800,"2020-02-27",46.720001,50.98,45.029999,48.189999,48.189999,21949100
"40",40,"2014-04-28",36.200001,36.669998,35.130001,35.84,32.062168,12646300,"2020-02-28",46.02,47.790001,45.139999,46.130001,46.130001,19861000
"41",41,"2014-04-29",36.02,36.75,35.869999,36.740002,32.86729,10035400,"2020-03-02",46.220001,47.25,44.330002,47.16,47.16,20098700
"42",42,"2014-04-30",36.810001,37.18,36.299999,36.830002,32.947811,11962800,"2020-03-03",49.810001,49.970001,46.040001,46.18,46.18,26344100
"43",43,"2014-05-01",37,37.529999,36.970001,37.119999,33.207237,11867300,"2020-03-04",47.5,48.639999,46.02,48.5,48.5,20381800
"44",44,"2014-05-02",37.110001,37.470001,36.560001,37.23,33.305645,9365600,"2020-03-05",46.5,46.57,44.419998,45.009998,45.009998,22918800
"45",45,"2014-05-05",37.009998,37.700001,36.630001,37.549999,33.591911,8766600,"2020-03-06",43.470001,46.93,42.869999,45.889999,45.889999,25809300
"46",46,"2014-05-06",38.450001,38.82,37.459999,37.689999,33.717152,13277500,"2020-03-09",43.040001,45.009998,42.43,43.52,43.52,25784700
"47",47,"2014-05-07",37.810001,38.259998,37.310001,38.240002,34.263729,10513500,"2020-03-10",45.57,45.880001,41.459999,45.470001,45.470001,28693300
"48",48,"2014-05-08",38.07,38.580002,37.5,37.700001,33.779869,11164100,"2020-03-11",44,44.34,41.73,42.669998,42.669998,23542000
"49",49,"2014-05-09",37.82,37.82,36.950001,37.669998,33.752987,9852300,"2020-03-12",37.470001,38.779999,33.459999,33.709999,33.709999,36331900
"50",50,"2014-05-12",37.77,38.689999,37.740002,38.650002,34.631092,8269600,"2020-03-13",38.540001,38.740002,34.790001,38.360001,38.360001,33052500
"51",51,"2014-05-13",38.52,39.110001,38.369999,38.779999,34.747562,6636500,"2020-03-16",32.799999,38.080002,31.23,35.810001,35.810001,35535400
"52",52,"2014-05-14",38.639999,38.860001,38.189999,38.439999,34.442936,8417700,"2020-03-17",36.23,37.189999,30.6,31.74,31.74,33097500
"53",53,"2014-05-15",38.080002,38.360001,37.330002,38.130001,34.165161,11211400,"2020-03-18",29.790001,29.790001,19.1,23.49,23.49,64242500
"54",54,"2014-05-16",38.040001,38.189999,37.41,37.860001,33.923229,9214000,"2020-03-19",23.360001,24.15,20,21.51,21.51,44623400
"55",55,"2014-05-19",37.68,38.720001,37.599998,38.389999,34.398125,6850400,"2020-03-20",23.17,26.85,21.26,21.35,21.35,55062900
"56",56,"2014-05-20",38.400002,38.450001,37.470001,37.830002,33.896351,9062800,"2020-03-23",22.17,22.83,20.6,22.219999,22.219999,44426400
"57",57,"2014-05-21",38.009998,38.470001,37.970001,38.34,34.353325,6500300,"2020-03-24",26.26,28.98,24.52,26.889999,26.889999,65730300
"58",58,"2014-05-22",38.369999,38.849998,38.290001,38.630001,34.613167,6668400,"2020-03-25",31.49,33.279999,27.4,31.1,31.1,70733900
"59",59,"2014-05-23",38.77,39.549999,38.650002,39.16,35.088058,7091300,"2020-03-26",32.610001,35.889999,30.42,31.700001,31.700001,57779500
"60",60,"2014-05-27",39.560001,39.599998,39.32,39.459999,35.356865,7278500,"2020-03-27",30.719999,31.32,29.02,29.549999,29.549999,34960700
"61",61,"2014-05-28",39.52,40.689999,39.490002,40.27,36.082642,9579300,"2020-03-30",28.49,29.290001,26,28.67,28.67,29527500
"62",62,"2014-05-29",40.32,40.650002,39.639999,40.139999,35.966156,9408900,"2020-03-31",29.35,30.530001,28.42,28.530001,28.530001,25002300
"63",63,"2014-05-30",40.139999,40.540001,39.669998,39.91,35.760071,7947700,"2020-04-01",26.59,26.59,23.690001,23.870001,23.870001,56133000
"64",64,"2014-06-02",40.139999,40.950001,39.759998,40.77,36.530647,10306700,"2020-04-02",23.92,24.65,22.51,22.68,22.68,39407400
"65",65,"2014-06-03",40.84,41.389999,40.669998,41.150002,36.871132,11273200,"2020-04-03",23.030001,23.65,21.75,22.48,22.48,48967800
"66",66,"2014-06-04",41.290001,42.349998,40.77,42.169998,37.785072,13825900,"2020-04-06",22.309999,23.5,20.76,22.32,22.32,95093000
"67",67,"2014-06-05",42.470001,42.66,41.48,41.5,37.184742,15651100,"2020-04-07",25.209999,25.85,21.9,22.25,22.25,98907200
"68",68,"2014-06-06",41.77,42.27,41.73,42.23,37.838837,8466700,"2020-04-08",23.09,23.639999,22.530001,23.23,23.23,67565200
"69",69,"2014-06-09",42.349998,42.470001,41.580002,41.869999,37.516262,9511500,"2020-04-09",25.4,25.530001,23.35,24.389999,24.389999,91692900
"70",70,"2014-06-10",41.860001,42.02,41.259998,41.919998,37.561058,7033800,"2020-04-13",24.98,25.059999,22.08,23.25,23.25,76173000
"71",71,"2014-06-11",41,41.080002,39.880001,40.709999,36.476875,23352200,"2020-04-14",23.99,25.290001,23.83,24.540001,24.540001,60843600
"72",72,"2014-06-12",39.82,39.849998,38.099998,38.5,34.496681,36333100,"2020-04-15",24.91,25.5,23.309999,24.35,24.35,88092500
"73",73,"2014-06-13",38.509998,39.630001,38.48,39.240002,35.159748,19864000,"2020-04-16",23.76,23.799999,22.629999,22.780001,22.780001,57610200
"74",74,"2014-06-16",38.599998,39.139999,38.25,38.84,34.801323,14132500,"2020-04-17",24.15,24.610001,23.59,24.27,24.27,52594500
"75",75,"2014-06-17",39.130001,39.779999,39.029999,39.490002,35.383747,11030800,"2020-04-20",23.440001,24.120001,22.91,23.639999,23.639999,42950800
"76",76,"2014-06-18",39.400002,39.82,39.009998,39.75,35.616707,10161400,"2020-04-21",23.02,23.77,22.799999,23.1,23.1,38616700
"77",77,"2014-06-19",39.830002,40.34,39.419998,39.619999,35.500217,10209500,"2020-04-22",23.879999,23.940001,21.629999,22.469999,22.469999,70221400
"78",78,"2014-06-20",39.75,39.970001,39.41,39.57,35.455429,11776100,"2020-04-23",22.65,22.959999,22.41,22.48,22.48,43581800
"79",79,"2014-06-23",39.41,39.669998,38.57,39.07,35.007416,13342100,"2020-04-24",22.530001,22.68,21.75,22.41,22.41,43694600
